address,price,lat,lon
167 Belmont St,600000,42.531573,-71.09744
167 K St,2150000,42.33723,-71.037596
1673 Commonwealth Ave #1,312000,42.342039,-71.145744
166 W Central St,4270000,42.282438,-71.379093
16 Kendal Common Rd,1250000,42.381645,-71.274595
17 Arden Rd,1800000,42.286126,-71.286714
17 Bel Air Rd,2675000,42.260232,-70.903926
38 Thatcher St,650000,42.415375,-71.099391
17 Jerusalem Ln,2600000,42.25978,-70.811341
17 Louisburg Sq,14800000,42.358424,-71.068599
17 Lincoln St,400000,42.588528,-70.884698
17 Marlboro St,1235000,42.351777,-71.176354
17 Mount Pleasant St,650000,42.656662,-70.614286
17 Mystic St,730000,42.419503,-71.125811
17 Pond Rd,630000,42.62745,-70.64215
17 Saddle Ln,1375000,42.107917,-70.826357
38-40 Hurd St,1200000,42.453347,-71.07084
142 Main St,1,42.405809,-71.061966
17 Supple Rd,300000,42.305643,-71.081666
17 Wellington Ave,1122500,42.389684,-71.090791
140 Kenrick St #5,322500,42.346603,-71.168381
17-23 Essex St,2600000,42.448754,-71.010739
27 Essex St,2600000,42.448871,-71.010917
170 Mystic Ave,6100000,42.409096,-71.104614
171 South St #2B,315000,42.303636,-71.114703
1722 Monument St,4800000,42.501275,-71.331364
173 Cambridge St,1000000,42.358726,-71.12421
175-177 Cambridge St,1175000,42.358785,-71.124333
175 Walnut St,1225000,42.321828,-71.256429
175-179 Railroad Ave,570000,42.19645,-71.199415
1759 Commonwealth Ave,950000,42.341697,-71.149596
176 Broad Meadow Rd,1000000,42.277503,-71.210298
11 Orchard St,925000,42.413559,-71.122291
177 Chelsea St,841000,42.373905,-71.034121
45 Parnell St,347000,42.255955,-70.93532
45 Temple St #603,3850000,42.359805,-71.063566
58 Cherry St,800000,42.630212,-70.670491
178 Washington Ave,10000000,42.398533,-71.031336
179-181 Calumet St,850000,42.329434,-71.101773
179 Lake St,390000,42.404006,-71.241751
18 Birch Rd,2600000,42.288705,-71.294956
18-20 Elmira St,1185000,42.353237,-71.150037
18 Enslin Rd,855000,42.278678,-71.20612
18 Evans St,300000,42.282851,-71.07733
18 Fitzhenry Sq,3450000,42.406252,-70.995267
18 Ginn Rd,2098500,42.446478,-71.140435
18 Glenburne St,110000,42.31524,-71.082591
18 Irving St,1,42.399029,-71.123804
18 Leland Rd,700000,42.300772,-71.145014
18 Libby Ave,510000,42.527914,-71.087768
18 Linden St,150000,42.391473,-71.576098
18 Main St #3,825000,42.396311,-71.098535
18 Sawyer Dr,625000,42.245572,-71.186318
18 Spiers Rd,860000,42.288748,-71.185953
20-24 O St,2700000,42.337713,-71.029182
18 Pond St #7,481000,42.314834,-71.115098
463 Arborway #9,396000,42.301545,-71.110182
180 Bell Rock St,415000,42.412557,-71.067902
180 Charles St,24450000,42.423169,-71.07483
180 Commonwealth Ave #14,1200000,42.35166,-71.079853
180 Newbury St,670000,42.536616,-70.988961
1806 Hockley Dr #1806,535000,42.242234,-70.915233
181 Common St,1,42.391292,-71.173946
1181 Nantasket Ave #4,380000,42.306148,-70.905572
181-183 Essex St,700000,42.453097,-71.019257
1799 River St,200000,42.244057,-71.138385
1817 River St,1400000,42.243679,-71.139151
181-A Mill St S,2000000,42.329745,-71.540585
182 Bristol Rd,1800000,42.308928,-71.300227
183-185 Chestnut St,2600000,42.470203,-70.937607
183 Maverick St,500000,42.36916,-71.036938
184 Edward Foster Rd,3290000,42.199539,-70.71631
184 Paris St,775000,42.37417,-71.035562
33 Brimblecom St,310000,42.466182,-70.95847
184 Whitwell St,730000,42.249557,-71.011539
185 Countryside Rd,2525000,42.304784,-71.202127
185-187 Main St,900000,42.430442,-71.460412
185 Pleasant St,1165000,42.499641,-70.859434
185-187 Chestnut St,950000,42.36801,-71.232486
185-187 K St,1000000,42.336856,-71.037464
185 Atlantic St,3300000,42.646674,-70.695573
187 Lexington St,6100000,42.382419,-71.236583
188-194 Cabot St,4394751,42.54759,-70.879192
188-190 Ash St,1315000,42.365195,-71.234182
189 Central St,1800000,42.472201,-71.007388
189 Chestnut Ave,3150000,42.316414,-71.107347
189 Leavitt St,1050000,42.232991,-70.863893
189-191 Main St,625000,42.346668,-71.550156
1899 Ocean St,9950000,42.091895,-70.705298
19 Appleton St,6850000,42.377662,-71.13344
19 Bel Air Rd,2750000,42.260783,-70.904236
143 Elm St,950000,42.347738,-71.56385
19 Burroughs Rd,1600000,42.463169,-71.211607
204 N St #1,792500,42.3312,-71.031171
19-21 Estey St,1,42.425278,-71.083654
19 Fiske Rd,1325000,42.443858,-71.189652
19 George St,1250000,42.386269,-71.079724
19 Glades Rd,2900000,42.236035,-70.760475
19 Hancock St,1240000,42.456695,-71.127467
19 Hanson St,1150000,42.380421,-71.105935
19 High St,631000,42.389972,-71.043725
21 High St,631000,42.389972,-71.043725
19 Leonard Ave,1610000,42.375325,-71.105686
19 Maida Ter,1025000,42.260833,-71.113513
19 Menotomy Rd,960000,42.419739,-71.170521
19 Paris St,950000,42.402074,-71.058094
19 Park Ave,800000,42.424757,-71.182828
19 Partridge St,795000,42.12627,-71.407534
19 Shirley Rd,775000,42.4284,-71.131625
19 Vernon St,1360000,42.353861,-71.180446
19 Winchester St #201,485000,42.341803,-71.124956
11 Federal St,3100000,42.480015,-71.153437
19 Pleasant St,3100000,42.479637,-71.152905
19 Woodbine St,1350000,42.391298,-71.104806
19 Buttonwood St,4000000,42.319763,-71.055718
21 Buttonwood St,4000000,42.319867,-71.0557
21 Magoun St,1250000,42.400088,-71.135342
19-21 Moseley St,2200000,42.32046,-71.054674
19-25 S Main St,1300000,42.240896,-70.802421
190 Concord Rd,8700000,42.379298,-71.313833
190 Fountain St,6575000,42.275434,-71.434682
190 N Shore Rd,27150000,42.436976,-70.970526
1907 River St,500000,42.242974,-71.143616
191 Linebrook Rd,805000,42.687028,-70.875384
192 Newtonville Ave,1050000,42.353312,-71.19488
208 Stockbridge Rd,55500,42.181602,-70.741173
30 Hall St,325000,42.193869,-71.06197
193 Lynn Shore Dr,1215000,42.461958,-70.928851
